datetime,Open,High,Low,Close,Volume,avg_prices,sma_close
2025-04-15 10:10:00,770.4,770.55,769.65,770.2,24622,770.2,769.15
2025-04-15 10:11:00,770.15,770.15,768.85,769.6,20285,769.6875,769.5
2025-04-15 10:12:00,769.85,770.0,769.45,769.55,9741,769.7125000000001,769.7
2025-04-15 10:13:00,769.55,769.9,769.5,769.6,8455,769.6374999999999,769.83
2025-04-15 10:14:00,769.8,769.95,769.45,769.6,10401,769.6999999999999,769.7099999999999
2025-04-15 10:15:00,769.6,769.8,769.25,769.35,6136,769.5,769.54
2025-04-15 10:16:00,769.55,769.6,768.8,769.45,9761,769.3499999999999,769.51
2025-04-15 10:17:00,769.35,769.75,768.7,768.75,38659,769.1375,769.35
2025-04-15 10:18:00,769.0,769.0,768.7,768.85,6197,768.8874999999999,769.2
2025-04-15 10:19:00,768.7,768.9,768.55,768.9,8365,768.7624999999999,769.0600000000001
2025-04-15 10:20:00,768.6,769.9,768.6,769.8,17214,769.2249999999999,769.15
2025-04-15 10:21:00,769.9,770.2,769.65,770.0,24499,769.9375,769.26
2025-04-15 10:22:00,770.1,770.1,769.65,769.7,8358,769.8875,769.45
2025-04-15 10:23:00,769.65,769.65,769.1,769.1,8312,769.375,769.5
2025-04-15 10:24:00,769.35,769.4,769.0,769.1,9406,769.2125,769.54
2025-04-15 10:25:00,769.1,769.3,769.0,769.25,5212,769.1625,769.43
2025-04-15 10:26:00,769.15,769.2,769.0,769.0,4091,769.0875,769.2299999999999
2025-04-15 10:27:00,769.05,769.15,768.75,768.95,10142,768.9749999999999,769.08
2025-04-15 10:28:00,768.9,768.95,768.45,768.7,27710,768.75,769.0
2025-04-15 10:29:00,768.7,768.95,768.3,768.45,16445,768.5999999999999,768.87
2025-04-15 10:30:00,768.55,768.6,768.35,768.6,4565,768.525,768.74
2025-04-15 10:31:00,768.9,769.1,768.5,768.5,8993,768.75,768.64
2025-04-15 10:32:00,768.9,769.3,768.55,769.1,17120,768.9625,768.6700000000001
2025-04-15 10:33:00,768.95,769.1,768.4,768.55,12453,768.75,768.6400000000001
2025-04-15 10:34:00,768.55,768.6,768.15,768.45,8592,768.4375,768.64
2025-04-15 10:35:00,768.35,768.45,768.3,768.3,1825,768.3500000000001,768.58
2025-04-15 10:36:00,768.35,768.35,768.0,768.0,9180,768.175,768.48
2025-04-15 10:37:00,768.1,768.15,768.0,768.0,2631,768.0625,768.26
2025-04-15 10:38:00,768.05,768.45,767.7,767.9,14527,768.025,768.13
2025-04-15 10:39:00,767.9,767.95,767.75,767.8,2778,767.8499999999999,767.9999999999999
2025-04-15 10:40:00,767.85,767.95,767.75,767.8,6669,767.8375000000001,767.9
2025-04-15 10:41:00,767.85,767.95,767.5,767.55,7331,767.7125000000001,767.81
2025-04-15 10:42:00,767.6,767.8,767.5,767.65,5547,767.6375,767.74
2025-04-15 10:43:00,767.7,768.2,767.55,768.05,13877,767.875,767.7699999999999
2025-04-15 10:44:00,768.15,768.5,768.0,768.35,13842,768.25,767.88
2025-04-15 10:45:00,768.1,768.35,768.1,768.15,6135,768.1750000000001,767.95
2025-04-15 10:46:00,768.05,768.2,767.9,768.0,7251,768.0375,768.04
2025-04-15 10:47:00,767.9,768.0,767.1,767.1,12688,767.525,767.9300000000001
2025-04-15 10:48:00,767.25,767.4,767.1,767.15,3754,767.225,767.75
2025-04-15 10:49:00,767.35,767.7,767.1,767.5,11629,767.4125,767.5799999999999
2025-04-15 10:50:00,767.55,767.55,767.3,767.3,9122,767.425,767.4100000000001
2025-04-15 10:51:00,767.4,767.5,767.2,767.4,5547,767.3750000000001,767.2900000000001
2025-04-15 10:52:00,767.55,767.55,767.35,767.5,3837,767.4875,767.37
2025-04-15 10:53:00,767.5,767.75,767.5,767.65,7625,767.6,767.4699999999999
2025-04-15 10:54:00,767.6,767.8,767.5,767.55,3026,767.6125,767.4799999999999
2025-04-15 10:55:00,767.7,767.95,767.6,767.85,3818,767.775,767.5899999999999
2025-04-15 10:56:00,767.95,768.15,767.85,768.0,10443,767.9875,767.7099999999999
2025-04-15 10:57:00,768.1,768.2,767.9,767.95,4922,768.0375000000001,767.8
2025-04-15 10:58:00,767.95,768.0,767.5,767.8,6444,767.8125,767.83
2025-04-15 10:59:00,767.75,767.75,767.5,767.65,3574,767.6625,767.85
2025-04-15 11:00:00,767.65,767.75,767.6,767.65,3312,767.6625,767.8100000000001
2025-04-15 11:01:00,767.7,767.85,767.7,767.85,4141,767.775,767.78
2025-04-15 11:02:00,767.85,768.0,767.8,767.85,6100,767.8749999999999,767.76
2025-04-15 11:03:00,767.85,768.0,767.8,767.95,3903,767.8999999999999,767.7900000000001
2025-04-15 11:04:00,767.95,768.0,767.8,767.8,5968,767.8875,767.8199999999999
2025-04-15 11:05:00,767.85,767.9,767.7,767.7,3966,767.7874999999999,767.83
2025-04-15 11:06:00,767.85,767.85,767.7,767.7,4999,767.7750000000001,767.8
2025-04-15 11:07:00,767.8,767.9,767.7,767.8,2339,767.8,767.7900000000001
2025-04-15 11:08:00,767.5,767.7,767.5,767.6,6489,767.5749999999999,767.72
2025-04-15 11:09:00,767.55,767.6,767.25,767.25,12497,767.4125,767.61
2025-04-15 11:10:00,767.3,767.3,767.0,767.0,5749,767.15,767.47
2025-04-15 11:11:00,767.1,767.1,766.65,766.9,17209,766.9375,767.3100000000001
2025-04-15 11:12:00,766.85,766.9,766.8,766.85,4503,766.85,767.12
2025-04-15 11:13:00,766.85,767.2,766.65,766.85,23227,766.8875,766.97
2025-04-15 11:14:00,766.8,766.9,766.5,766.8,5446,766.75,766.88
2025-04-15 11:15:00,766.9,767.25,766.75,767.1,8734,767.0,766.9
2025-04-15 11:16:00,767.05,767.5,766.9,767.4,4449,767.2125,767.0
2025-04-15 11:17:00,767.3,767.35,766.85,766.85,6828,767.0875,767.0
2025-04-15 11:18:00,766.9,767.1,766.7,766.9,11423,766.9,767.01
2025-04-15 11:19:00,767.05,767.15,766.85,766.85,5498,766.9749999999999,767.02
2025-04-15 11:20:00,766.95,767.0,766.7,766.8,5519,766.8625,766.96
2025-04-15 11:21:00,766.65,766.8,766.5,766.65,14310,766.65,766.81
2025-04-15 11:22:00,766.6,766.65,766.1,766.4,24393,766.4375,766.72
2025-04-15 11:23:00,766.2,766.65,766.15,766.65,16737,766.4125,766.67
2025-04-15 11:24:00,766.65,767.0,766.5,767.0,7918,766.7875,766.7
2025-04-15 11:25:00,767.0,767.5,766.95,767.2,9661,767.1624999999999,766.78
2025-04-15 11:26:00,767.45,767.65,767.2,767.5,8210,767.45,766.95
2025-04-15 11:27:00,767.5,767.6,767.25,767.25,6297,767.4,767.12
2025-04-15 11:28:00,767.4,767.6,767.25,767.5,8930,767.4375,767.29
2025-04-15 11:29:00,767.5,767.55,767.3,767.5,4424,767.4625,767.39
2025-04-15 11:30:00,767.5,767.7,767.15,767.15,12294,767.375,767.38
2025-04-15 11:31:00,767.25,767.3,767.0,767.0,7204,767.1375,767.28
2025-04-15 11:32:00,767.05,767.1,766.6,766.8,9220,766.8875,767.1899999999999
2025-04-15 11:33:00,766.85,766.85,766.6,766.65,5581,766.7375000000001,767.02
2025-04-15 11:34:00,766.65,766.85,766.5,766.55,7776,766.6375,766.83
2025-04-15 11:35:00,766.75,766.75,766.5,766.5,2812,766.625,766.7
2025-04-15 11:36:00,766.55,766.85,766.5,766.75,5595,766.6625,766.65
2025-04-15 11:37:00,766.75,767.4,766.75,767.4,10311,767.075,766.7699999999999
2025-04-15 11:38:00,767.35,767.4,767.15,767.3,3629,767.3,766.9
2025-04-15 11:39:00,767.15,767.9,767.15,767.85,14577,767.5124999999999,767.16
2025-04-15 11:40:00,767.9,768.3,767.75,768.25,18798,768.05,767.51
2025-04-15 11:41:00,768.05,768.2,767.8,767.9,6935,767.9875000000001,767.74
2025-04-15 11:42:00,768.0,768.5,767.8,768.5,14435,768.2,767.96
2025-04-15 11:43:00,768.6,769.25,768.55,769.1,30256,768.8749999999999,768.3199999999999
2025-04-15 11:44:00,768.95,769.1,768.35,768.75,21906,768.7875,768.5
2025-04-15 11:45:00,768.75,769.05,768.4,768.65,15723,768.7125,768.58
2025-04-15 11:46:00,768.75,768.85,768.5,768.6,4642,768.675,768.72
2025-04-15 11:47:00,768.7,768.75,768.25,768.25,7675,768.4875,768.67
2025-04-15 11:48:00,768.35,768.4,768.0,768.2,5380,768.2375,768.49
