datetime,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_9,ema_20,ema_50,rsi_14,bb_upper_20,bb_lower_20,bb_width_20,vwap,supertrend_10_3,supertrend_10_3_signal,is_support,is_resistance,support_levels,resistance_levels,sr_position,nearest_support,nearest_resistance
2025-04-15 09:48:00,767.9,768.25,767.8,768.15,8016,766.7925,,,767.6227401083324,766.7978403114255,765.1187315307801,79.04761904761861,768.7820185876307,764.8029814123694,0.005189196784346851,765.0927602744816,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:49:00,768.2,768.2,767.3,767.65,13707,766.85,,,767.628192086666,766.878998377004,765.2179969609456,71.17117117117112,768.8701615360117,764.8298384639884,0.005268726702775359,765.1174334969025,,1,1,0,[762.4],[764.0],1,762.4,
2025-04-15 09:50:00,767.65,768.45,767.55,768.15,19335,766.9224999999999,,,767.7325536693328,767.0000461506227,765.3329774722811,71.68141592920303,769.0224937343269,764.8225062656729,0.0054764170677662274,765.1558222931153,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:51:00,768.45,768.5,767.7,767.85,9974,766.99,,,767.7560429354663,767.0809941362777,765.431684238074,65.45454545454587,769.1193932914039,764.8606067085962,0.005552597273507758,765.1750113315551,,1,0,1,[762.4],[764.0],1,762.4,
2025-04-15 09:52:00,767.85,768.4,767.7,768.2,18884,767.07,,,767.8448343483731,767.1875661232989,765.5402456405025,69.29824561403534,769.2571394439703,764.8828605560298,0.005702581104645717,765.2116911550837,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:53:00,768.05,768.4,767.85,768.05,10716,767.1775,,,767.8858674786985,767.2697026829848,765.6386673800906,67.52136752136673,769.333635675841,765.021364324159,0.0056209564953117845,765.2320994093358,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:54:00,768.1,769.3,768.1,768.85,42407,767.365,,,768.0786939829588,767.4202071893671,765.7646019926361,68.59504132231349,769.4097879828336,765.3202120171665,0.0053293751548052215,765.3277909628255,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:55:00,768.85,769.9,768.85,769.6,45098,767.5799999999999,,,768.3829551863671,767.6278065046655,765.9150097576309,68.06722689075563,769.6148024603473,765.5451975396526,0.005301864197470884,765.4436833856677,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:56:00,769.5,769.9,769.0,769.05,23740,767.7475000000001,,,768.5163641490938,767.7632535042212,766.0379505514493,62.79069767441811,769.679631356547,765.8153686434531,0.005033246885328733,765.5001658738996,,1,0,0,[762.4],[764.0],1,762.4,
2025-04-15 09:57:00,769.25,769.55,768.9,768.9,16904,767.885,,,768.593091319275,767.8715150752478,766.1501877847259,55.652173913043164,769.72779535946,766.04220464054,0.004799664948423151,765.5373347086207,,1,0,0,[762.4],[764.0],1,762.4,
