datetime,Open,High,Low,Close,Volume
2025-04-25 10:49:00,793.55,793.8,793.0,793.2,17944
2025-04-25 10:50:00,793.3,793.5,792.55,792.55,13410
2025-04-25 10:51:00,792.8,793.35,792.45,792.5,22863
2025-04-25 10:52:00,792.5,793.4,792.25,793.35,16276
2025-04-25 10:53:00,793.4,794.05,792.35,792.45,22668
2025-04-25 10:54:00,792.6,792.65,791.3,791.6,55817
2025-04-25 10:55:00,791.7,792.0,790.75,790.95,34145
2025-04-25 10:56:00,790.95,791.2,790.5,790.6,35676
2025-04-25 10:57:00,790.6,790.8,790.1,790.6,23756
2025-04-25 10:58:00,790.7,791.1,790.5,791.0,44404
2025-04-25 10:59:00,791.05,791.45,790.6,791.15,35938
2025-04-25 11:00:00,791.15,791.45,790.65,790.8,26968
2025-04-25 11:01:00,790.9,791.95,787.8,787.8,218965
2025-04-25 11:02:00,788.1,788.2,787.5,787.85,102720
2025-04-25 11:03:00,787.8,787.95,787.0,787.6,110777
2025-04-25 11:04:00,787.85,788.65,787.05,788.65,88654
2025-04-25 11:05:00,788.8,790.8,788.75,790.75,36911
2025-04-25 11:06:00,790.75,792.5,790.7,792.0,44711
2025-04-25 11:07:00,791.95,792.9,791.3,792.55,40560
2025-04-25 11:08:00,792.6,793.8,792.25,793.8,28907
2025-04-25 11:09:00,793.8,794.25,793.4,793.5,31117
2025-04-25 11:10:00,793.7,795.0,793.45,794.5,32337
2025-04-25 11:11:00,794.3,794.6,793.5,793.5,40702
2025-04-25 11:12:00,793.65,793.7,792.05,793.0,49229
2025-04-25 11:13:00,793.1,793.9,792.8,793.7,14734
2025-04-25 11:14:00,793.7,794.4,793.05,794.15,16589
2025-04-25 11:15:00,794.3,794.5,793.65,793.95,14704
2025-04-25 11:16:00,793.7,794.85,793.7,794.85,31396
2025-04-25 11:17:00,794.45,794.7,793.65,793.8,13811
2025-04-25 11:18:00,794.05,794.5,793.65,793.7,14991
2025-04-25 11:19:00,793.9,793.95,793.15,793.65,19651
2025-04-25 11:20:00,793.95,794.35,793.6,793.8,24094
2025-04-25 11:21:00,793.9,793.95,793.45,793.75,20412
2025-04-25 11:22:00,793.95,794.05,793.5,793.95,15117
2025-04-25 11:23:00,793.95,794.0,793.55,793.85,9592
2025-04-25 11:24:00,793.85,794.6,793.15,794.5,23920
2025-04-25 11:25:00,794.5,794.6,794.05,794.5,12148
2025-04-25 11:26:00,794.55,794.55,793.7,794.0,12396
2025-04-25 11:27:00,794.3,794.8,794.0,794.35,23521
2025-04-25 11:28:00,794.6,795.4,794.4,794.7,31053
2025-04-25 11:29:00,794.95,795.85,794.95,795.85,20805
2025-04-25 11:30:00,795.7,795.8,795.3,795.5,18970
2025-04-25 11:31:00,795.5,795.8,795.05,795.6,16216
2025-04-25 11:32:00,795.65,795.7,795.2,795.35,11443
2025-04-25 11:33:00,795.5,795.8,795.4,795.65,11133
2025-04-25 11:34:00,795.7,795.7,795.05,795.2,14703
2025-04-25 11:35:00,795.25,795.4,795.0,795.25,13069
2025-04-25 11:36:00,795.2,795.95,795.05,795.9,26063
2025-04-25 11:37:00,795.9,796.3,795.85,795.85,22238
2025-04-25 11:38:00,795.95,796.7,795.85,796.5,30587
2025-04-25 11:39:00,796.7,797.5,796.65,797.3,27670
2025-04-25 11:40:00,797.2,797.75,797.1,797.25,36765
2025-04-25 11:41:00,797.5,798.0,797.05,798.0,13349
2025-04-25 11:42:00,797.85,798.0,797.45,797.85,23327
2025-04-25 11:43:00,798.0,798.1,797.6,798.1,12989
2025-04-25 11:44:00,798.1,798.25,797.15,797.4,19012
2025-04-25 11:45:00,797.45,797.45,796.25,796.5,34072
2025-04-25 11:46:00,796.8,796.9,796.5,796.6,12971
2025-04-25 11:47:00,796.55,796.85,795.3,795.3,20441
2025-04-25 11:48:00,795.45,797.1,795.15,796.3,42769
2025-04-25 11:49:00,796.6,796.95,796.3,796.7,14713
2025-04-25 11:50:00,796.75,796.85,795.95,796.3,27645
2025-04-25 11:51:00,796.3,796.5,796.0,796.15,20581
2025-04-25 11:52:00,796.5,797.0,796.4,796.75,14805
2025-04-25 11:53:00,796.75,796.75,796.1,796.35,11935
2025-04-25 11:54:00,796.5,797.15,796.0,797.0,26573
2025-04-25 11:55:00,797.15,797.85,797.0,797.25,20941
2025-04-25 11:56:00,797.4,797.8,797.1,797.15,14111
2025-04-25 11:57:00,797.1,797.75,797.1,797.35,21727
2025-04-25 11:58:00,797.35,797.7,797.0,797.35,9416
2025-04-25 11:59:00,797.45,797.45,797.0,797.1,9815
2025-04-25 12:00:00,797.1,797.95,797.1,797.55,10235
2025-04-25 12:01:00,797.55,797.75,796.4,796.4,34995
2025-04-25 12:02:00,796.5,796.8,795.7,796.7,73535
2025-04-25 12:03:00,797.0,798.0,797.0,797.8,45446
2025-04-25 12:04:00,798.0,798.05,797.1,798.05,65322
2025-04-25 12:05:00,798.1,798.1,797.15,797.65,95476
2025-04-25 12:06:00,797.6,797.6,797.0,797.25,48267
2025-04-25 12:07:00,797.25,797.5,796.6,797.0,43081
2025-04-25 12:08:00,796.95,797.45,796.3,797.25,86636
2025-04-25 12:09:00,797.4,797.65,795.8,795.95,78733
2025-04-25 12:10:00,796.0,796.2,794.9,795.9,134541
2025-04-25 12:11:00,795.6,796.7,795.15,796.65,67553
2025-04-25 12:12:00,796.7,797.8,796.55,797.8,35504
2025-04-25 12:13:00,797.8,798.9,797.55,798.5,41167
2025-04-25 12:14:00,798.45,798.8,797.8,798.25,22519
2025-04-25 12:15:00,798.15,798.4,797.2,797.75,20983
2025-04-25 12:16:00,797.95,798.0,797.55,797.55,9080
2025-04-25 12:17:00,797.55,797.9,797.1,797.9,23980
2025-04-25 12:18:00,797.55,798.65,797.45,798.25,21714
2025-04-25 12:19:00,798.45,798.65,797.75,798.2,39232
2025-04-25 12:20:00,798.45,798.8,797.8,797.8,72880
2025-04-25 12:21:00,798.2,798.3,797.9,798.3,12258
2025-04-25 12:22:00,798.25,798.3,797.25,797.6,16060
2025-04-25 12:23:00,797.6,797.75,797.2,797.55,13755
2025-04-25 12:24:00,797.6,798.25,797.4,798.05,13066
2025-04-25 12:25:00,798.1,798.15,797.5,797.95,17827
2025-04-25 12:26:00,797.7,798.6,797.6,798.5,22106
2025-04-25 12:27:00,798.35,798.8,798.0,798.65,37153
2025-04-25 12:28:00,798.65,798.95,798.25,798.9,13483
2025-04-25 12:29:00,798.9,798.95,798.0,798.75,14622
2025-04-25 12:30:00,798.8,799.5,798.15,798.85,24994
2025-04-25 12:31:00,798.85,799.35,798.6,798.6,15179
2025-04-25 12:32:00,798.5,798.65,798.05,798.15,13106
2025-04-25 12:33:00,798.0,798.75,798.0,798.05,15627
2025-04-25 12:34:00,798.35,798.9,798.05,798.9,13842
2025-04-25 12:35:00,798.9,798.9,798.2,798.7,11038
2025-04-25 12:36:00,798.45,799.45,798.45,799.35,17087
2025-04-25 12:37:00,799.45,799.8,799.2,799.8,22853
2025-04-25 12:38:00,799.6,799.9,799.0,799.0,15529
2025-04-25 12:39:00,799.2,799.9,799.05,799.85,14337
2025-04-25 12:40:00,799.9,800.0,799.6,799.95,23260
2025-04-25 12:41:00,799.95,800.45,799.65,800.3,55179
2025-04-25 12:42:00,800.1,800.2,798.45,798.9,91414
2025-04-25 12:43:00,799.0,799.05,798.0,798.3,17183
2025-04-25 12:44:00,798.3,798.5,797.95,798.0,12447
2025-04-25 12:45:00,798.0,798.4,797.85,798.4,18633
2025-04-25 12:46:00,798.35,799.0,798.3,798.3,13505
2025-04-25 12:47:00,798.6,798.6,797.4,797.8,19433
2025-04-25 12:48:00,798.0,798.7,797.75,798.7,33061
2025-04-25 12:49:00,798.4,798.75,798.25,798.45,12919
2025-04-25 12:50:00,798.4,798.6,798.15,798.4,11388
2025-04-25 12:51:00,798.35,798.4,797.5,798.2,18022
2025-04-25 12:52:00,798.15,799.15,797.9,799.15,17627
